x,y,index,remaining_steps,replans
3,4,23,40,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
4,4,24,43,[]
4,3,25,42,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
4,2,26,45,[]
5,2,27,44,[]
5,1,28,43,[]
5,0,29,42,[]
5,1,30,41,[]
5,2,31,40,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
5,2,31,40,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
5,2,31,40,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
4,2,32,35,[]
4,3,33,34,[]
4,4,34,33,[]
3,4,35,32,[]
3,3,36,31,[]
2,3,37,30,[]
3,3,38,29,[]
3,4,39,28,[]
3,5,40,27,[]
2,5,41,26,[]
1,5,42,25,[]
