x,y,index,remaining_steps,replans
0,2,0,49,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (2, 2), (2, 3), (3, 3), (3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 1), (3, 1), (2, 1), (2, 2), (2, 3)]
0,3,1,48,[]
0,2,2,47,[]
1,2,3,46,[]
1,1,4,45,[]
2,1,5,44,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
1,1,6,49,[]
1,2,7,48,[]
1,3,8,47,[]
1,4,9,46,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (2, 4), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
1,5,10,51,[]
2,5,11,50,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
3,5,12,49,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3), (2, 3)]
4,5,13,46,[]
4,4,14,45,[]
3,4,15,44,[]
3,3,16,43,[]
2,3,17,42,[]
3,3,18,41,[]
3,4,19,40,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
3,4,19,40,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
3,4,19,40,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
4,4,20,43,[]
4,3,21,42,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
4,2,22,45,[]
5,2,23,44,[]
5,1,24,43,[]
5,0,25,42,[]
5,1,26,41,[]
5,2,27,40,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
5,2,27,40,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
5,2,27,40,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (0, 4), (0, 5), (0, 4), (1, 4), (1, 5), (2, 5), (3, 5), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
4,2,28,35,[]
4,3,29,34,[]
4,4,30,33,[]
3,4,31,32,[]
3,3,32,31,[]
2,3,33,30,[]
3,3,34,29,[]
3,4,35,28,[]
3,5,36,27,[]
2,5,37,26,[]
1,5,38,25,[]
1,4,39,24,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
1,4,39,24,[(0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
1,5,40,15,[]
2,5,41,14,[]
3,5,42,13,[]
4,5,43,12,[]
4,4,44,11,[]
4,3,45,10,[]
5,3,46,9,[]
5,4,47,8,[]
5,5,48,7,[]
5,4,49,6,[]
5,3,50,5,[]
4,3,51,4,[]
4,4,52,3,[]
3,4,53,2,[]
3,3,54,1,[]
2,3,55,0,[]
