"(3, 5)",2007.73,216.0
"(4, 5)",2019.05,216.0
"(3, 5)",2032.06,216.0
"(2, 5)",2044.44,216.0
"(1, 5)",2049.4,216.0
"(1, 6)",2060.76,216.0
"(1, 7)",2072.19,216.0
"(1, 8)",2080.86,216.0
"(0, 8)",2087.68,216.0
"(0, 7)",2099.99,216.0
"(0, 6)",2106.57,216.0
"(0, 5)",2119.79,216.0
"(0, 4)",2126.33,216.0
"(0, 3)",2137.13,216.0
"(0, 2)",2151.86,216.0
"(0, 1)",2161.9,216.0
"(1, 1)",2171.03,216.0
"(1, 2)",2182.11,216.0
"(1, 3)",2187.48,216.0
"(1, 4)",2200.3,216.0
"(2, 4)",2211.72,216.0
"(3, 4)",2218.44,216.0
"(4, 4)",2226.68,216.0
"(3, 4)",2243.71,216.0
"(2, 4)",2246.63,216.0
"(1, 4)",2258.43,216.0
"(1, 3)",2269.39,216.0
"(1, 2)",2281.73,216.0
"(1, 1)",2292.43,216.0
"(1, 0)",2299.01,216.0
"(2, 0)",2305.52,216.0
"(3, 0)",2323.74,216.0
"(4, 0)",2333.57,216.0
"(5, 0)",2337.21,216.0
"(6, 0)",2349.12,216.0
"(7, 0)",2363.41,216.0
"(8, 0)",2370.61,216.0
"(8, 1)",2376.44,216.0
"(7, 1)",2386.95,216.0
"(6, 1)",2399.02,216.0
"(5, 1)",2409.11,216.0
"(5, 2)",2420.64,216.0
"(5, 3)",2431.91,216.0
"(5, 4)",2442.35,216.0
"(5, 3)",2451.77,216.0
"(5, 3)",2457.63,216.0
"(5, 2)",2457.27,216.0
"(5, 1)",2473.21,216.0
