"(1, 3)",2190,29,370
"(1, 4)",2200,28,360
"(2, 4)",2210,27,350
"(3, 4)",2220,26,340
"(4, 4)",2230,25,330
"(3, 4)",2240,24,320
"(2, 4)",2250,23,310
"(1, 4)",2260,22,300
"(1, 3)",2270,21,290
"(1, 2)",2280,20,280
"(1, 1)",2290,19,270
"(1, 0)",2300,18,260
"(2, 0)",2310,17,210
"(3, 0)",2320,16,200
"(4, 0)",2330,15,190
"(5, 0)",2340,14,180
"(6, 0)",2350,13,170
"(7, 0)",2360,12,160
"(8, 0)",2370,11,150
"(8, 1)",2380,10,140
"(7, 1)",2390,9,90
"(6, 1)",2400,8,80
"(5, 1)",2410,7,70
"(5, 2)",2420,6,60
"(5, 3)",2430,5,50
"(5, 4)",2440,4,40
"(5, 3)",2450,3,30
"(5, 3)",2450,2,20
"(5, 2)",2460,1,10
"(5, 1)",2470,0,0
