"(0, 0)",60,53
"(0, 1)",20,53
"(1, 1)",60,53
"(1, 2)",90,53
"(0, 2)",50,53
"(0, 3)",90,53
"(0, 2)",100,53
"(1, 2)",110,53
"(1, 1)",120,53
"(2, 1)",120,53
"(2, 2)",130,53
"(2, 3)",140,53
"(3, 3)",180,53
"(3, 4)",160,53
"(2, 4)",150,53
"(1, 4)",180,53
"(0, 4)",180,53
"(0, 5)",230,53
"(0, 4)",240,53
"(1, 4)",200,53
"(2, 4)",220,53
"(3, 4)",240,53
"(3, 3)",240,53
"(2, 3)",240,53
"(3, 3)",260,53
"(3, 4)",280,53
"(4, 4)",270,53
"(4, 3)",280,53
"(5, 3)",300,53
"(5, 4)",320,53
"(5, 5)",320,53
"(5, 4)",340,53
"(5, 3)",380,53
"(4, 3)",390,53
"(4, 4)",350,53
"(3, 4)",380,53
"(3, 3)",400,53
"(2, 3)",390,53
"(2, 2)",440,53
"(2, 1)",400,53
"(3, 1)",410,53
"(4, 1)",420,53
"(4, 2)",440,53
"(5, 2)",490,53
"(5, 1)",460,53
"(5, 0)",490,53
"(5, 1)",470,53
"(5, 2)",510,53
"(4, 2)",500,53
"(4, 1)",510,53
"(3, 1)",520,53
"(2, 1)",530,53
"(2, 2)",540,53
"(2, 3)",570,53
