message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp,clicked,click_timestamp,time_to_click_seconds,was_closed,close_timestamp,time_open_seconds
robot1-7.68,P20251104214937_c7b760,3,2,1,0,7.684749126434326,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10). Weather has turned bad.",2025-11-04T21:49:39.696537,1,2025-11-05T02:49:46.401Z,,0,,
robot2-7.68,P20251104214937_c7b760,3,2,1,0,7.684749126434326,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T21:49:39.696683,1,2025-11-05T02:49:50.789Z,,0,,
robot3-7.68,P20251104214937_c7b760,3,2,1,0,7.684749126434326,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-04T21:49:39.696838,1,2025-11-05T02:49:41.796Z,,0,,
robot3-22.69,P20251104214937_c7b760,3,2,1,3,22.6851863861084,robot3,moving,9.326171875,8.687700045724737,on_track,"Moving to acquire package at Position (X9, Y9).",2025-11-04T21:49:44.738939,0,,,0,,
robot1-27.68,P20251104214937_c7b760,3,2,1,4,27.68447470664978,robot1,moving,9.47265625,10.589849108367627,on_track,"Moving to acquire package at Position (X9, Y11). Weather has improved.",2025-11-04T21:49:45.330969,0,,,0,,
robot2-27.68,P20251104214937_c7b760,3,2,1,4,27.68447470664978,robot2,moving,11.46484375,9.227251943301326,on_track,"Moving to acquire package at Position (X11, Y9).",2025-11-04T21:49:45.331149,0,,,0,,
robot3-32.68,P20251104214937_c7b760,3,2,1,5,32.684391260147095,robot3,moving,4.62890625,2.2313671696387742,on_track,"Moving to acquire package at Position (X5, Y2).",2025-11-04T21:49:45.808932,0,,,0,,
robot2-37.08,P20251104214937_c7b760,3,2,1,6,37.08220553398132,robot2,carrying,14.4140625,5.459533607681756,on_track,"Transporting p1 to Position (X18, Y4). Currently at Position (X14, Y5).",2025-11-04T21:49:47.347562,0,,,0,,
robot1-39.58,P20251104214937_c7b760,3,2,1,9,39.58122372627258,robot1,carrying,6.81640625,18.52766346593507,on_track,"Transporting p5 to Position (X2, Y14). Currently at Position (X7, Y19).",2025-11-04T21:49:50.488203,0,,,0,,
